Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
338,WakeForest,22,6,16,0.273,2.77,9.1,3,15,5,6,1,9,1458,1583,885,501,1222,0.41,195,562,0.347,261,359,0.727,198,718,252,136,48,300,365
339,WashingtonState,27,14,13,0.519,5.9,4.71,7,12,11,5,3,6,1853,1821,1110,633,1539,0.411,208,610,0.341,379,534,0.71,304,1027,328,167,95,412,496
340,Washington,26,5,21,0.192,-0.47,9.27,4,16,4,7,1,9,1759,2012,1040,641,1513,0.424,197,593,0.332,280,397,0.705,213,811,280,158,94,355,472
341,WeberState,23,17,6,0.739,1.99,-6.36,12,3,11,0,6,5,1881,1594,920,656,1300,0.505,193,496,0.389,376,478,0.787,148,754,345,154,69,288,376
342,WestVirginia,27,18,9,0.667,15.89,10.71,11,6,8,5,7,2,2087,1947,1095,711,1660,0.428,196,549,0.357,469,654,0.717,363,1030,373,202,77,328,442
343,WesternCarolina,27,11,16,0.407,-6.88,-1.48,4,13,6,5,4,9,2039,2129,1105,716,1577,0.454,226,662,0.341,381,525,0.726,211,928,359,133,75,382,455
344,WesternIllinois,22,7,15,0.318,-12.69,-4.84,5,9,2,5,4,9,1606,1746,880,550,1362,0.404,157,497,0.316,349,488,0.715,258,839,225,116,67,286,444
345,WesternKentucky,26,20,6,0.769,5.5,-0.07,11,3,11,2,5,3,1917,1772,1045,668,1462,0.457,165,474,0.348,416,528,0.788,272,990,348,172,118,385,369
346,WesternMichigan,21,5,16,0.238,-10.46,-0.16,4,12,2,9,3,7,1325,1511,840,499,1153,0.433,141,427,0.33,186,291,0.639,167,710,245,93,42,305,346
347,WichitaState,20,16,4,0.8,9.84,7.01,11,2,10,2,5,2,1461,1356,810,492,1206,0.408,166,490,0.339,311,448,0.694,246,768,264,120,69,224,315
348,William&Mary,17,7,10,0.412,-10.28,-3.04,4,6,1,3,5,6,1101,1224,685,388,948,0.409,98,342,0.287,227,303,0.749,170,574,183,90,56,232,265
349,Winthrop,24,23,1,0.958,5.16,-7.59,17,1,11,1,10,0,1909,1603,960,674,1463,0.461,203,575,0.353,358,522,0.686,312,966,361,186,57,340,436
350,Wisconsin,29,17,12,0.586,17.92,12.61,10,10,11,5,5,6,2019,1865,1170,711,1689,0.421,248,689,0.36,349,455,0.767,241,972,386,170,110,259,471
351,Wofford,24,15,9,0.625,2.24,0.24,12,5,9,3,6,4,1784,1627,965,646,1374,0.47,246,692,0.355,246,349,0.705,216,829,351,160,48,306,380
352,WrightState,24,18,6,0.75,7.8,-6.74,16,4,9,4,9,2,1967,1618,965,710,1471,0.483,179,484,0.37,368,508,0.724,284,1015,369,141,87,314,328
353,Wyoming,25,14,11,0.56,-1.49,-2.57,5,9,7,5,4,5,1915,1888,1010,649,1442,0.45,251,704,0.357,366,509,0.719,203,816,351,145,54,281,468
354,Xavier,21,13,8,0.619,12.1,7.48,6,7,11,2,2,5,1571,1474,850,589,1285,0.458,162,498,0.325,231,333,0.694,200,792,369,145,85,235,325
355,Yale,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
356,YoungstownState,27,15,12,0.556,-8.87,-7.26,9,11,10,5,5,7,2010,1950,1095,717,1672,0.429,186,606,0.307,390,537,0.726,346,991,349,163,44,310,441
