Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
75,DelawareState,19,3,16,0.158,-23.01,-5.24,1,11,3,6,0,10,1345,1629,765,468,1183,0.396,152,492,0.309,257,357,0.72,205,678,216,123,69,321,405
76,Delaware,15,7,8,0.467,-4.21,-4.07,5,4,6,3,1,4,1013,1012,600,347,793,0.438,107,321,0.333,212,297,0.714,131,526,188,69,54,215,262
77,Denver,21,2,19,0.095,-17.09,-6.49,1,13,2,10,0,9,1466,1662,850,519,1172,0.443,141,403,0.35,287,398,0.721,156,636,251,120,54,311,431
78,DePaul,19,5,14,0.263,3.76,9.92,2,13,2,8,2,5,1250,1367,770,481,1154,0.417,103,327,0.315,185,273,0.678,229,717,217,130,74,300,374
79,DetroitMercy,22,12,10,0.545,-2.7,-5.24,10,6,7,5,5,5,1683,1627,885,598,1290,0.464,225,575,0.391,262,326,0.804,197,719,315,150,54,253,313
80,DixieState,21,8,13,0.381,-14.87,-4.29,4,10,5,7,3,6,1461,1603,840,514,1227,0.419,128,418,0.306,305,427,0.714,200,740,321,143,43,320,439
81,Drake,29,25,4,0.862,9.65,-1.53,15,3,14,1,9,2,2245,1875,1170,868,1757,0.494,204,552,0.37,305,428,0.713,300,1043,399,207,86,299,455
82,Drexel,19,12,7,0.632,0.27,-4.36,4,5,3,2,4,5,1358,1270,760,495,1038,0.477,138,371,0.372,230,296,0.777,168,645,288,89,45,245,288
83,Duke,24,13,11,0.542,14.07,9.36,9,9,8,5,3,6,1824,1711,970,692,1479,0.468,201,571,0.352,239,346,0.691,269,851,387,197,109,307,410
84,Duquesne,18,9,9,0.5,3.34,3.51,7,7,5,2,2,5,1205,1208,720,438,1040,0.421,115,385,0.299,214,329,0.65,205,654,241,121,80,240,310
85,EastCarolina,19,8,11,0.421,1.17,4,2,10,7,6,1,4,1269,1291,765,449,1094,0.41,109,359,0.304,262,362,0.724,189,653,303,117,59,240,325
86,EastTennesseeState,25,13,12,0.52,2.05,0.7,8,7,8,4,3,5,1736,1654,1005,620,1416,0.438,201,575,0.35,295,423,0.697,253,897,295,184,64,339,431
87,EasternIllinois,27,9,18,0.333,-12.21,-6.69,6,14,5,7,4,11,1874,2023,1095,707,1623,0.436,186,574,0.324,274,417,0.657,285,944,360,193,88,383,435
88,EasternKentucky,29,22,7,0.759,-2.17,-7.73,15,5,10,2,9,4,2372,2137,1180,871,1946,0.448,279,778,0.359,351,497,0.706,306,1033,461,299,103,372,533
89,EasternMichigan,18,6,12,0.333,-13.22,-0.22,3,11,5,4,1,8,1267,1362,720,448,1077,0.416,128,411,0.311,243,326,0.745,169,594,198,160,42,221,274
90,EasternWashington,22,15,7,0.682,2.54,-5.27,12,3,7,2,6,5,1730,1542,880,617,1315,0.469,190,530,0.358,306,389,0.787,168,780,338,109,62,251,376
91,Elon,19,10,9,0.526,-4.45,-3.56,4,7,4,2,3,6,1249,1235,760,449,1084,0.414,154,473,0.326,197,266,0.741,166,652,206,108,39,218,359
92,Evansville,25,9,16,0.36,-4.57,0.27,7,11,8,4,1,10,1619,1740,1015,571,1299,0.44,240,637,0.377,237,330,0.718,149,670,291,122,56,274,377
93,Fairfield,26,10,16,0.385,-10.78,-6.05,7,11,4,8,3,8,1617,1740,1050,564,1403,0.402,158,496,0.319,331,477,0.694,256,919,265,121,60,339,462
94,FairleighDickinson,24,9,15,0.375,-8.36,-4.66,8,10,4,6,5,9,1801,1890,970,645,1432,0.45,194,517,0.375,317,445,0.712,244,813,287,182,93,340,439
95,FloridaA&M,20,8,12,0.4,-11.91,-9.11,7,5,4,1,4,10,1314,1370,800,500,1126,0.444,95,303,0.314,219,336,0.652,206,705,265,130,50,338,364
96,FloridaAtlantic,23,13,10,0.565,-1.83,-4.73,7,5,7,1,4,7,1796,1537,925,652,1409,0.463,223,587,0.38,269,407,0.661,287,929,335,175,63,318,415
97,FloridaGulfCoast,18,10,8,0.556,-9.37,-6.87,4,4,7,4,2,2,1292,1242,720,483,1126,0.429,146,499,0.293,180,271,0.664,206,700,246,134,77,265,280
98,FloridaInternational,26,9,17,0.346,-10.94,-2.99,2,15,7,8,2,9,1914,1985,1055,690,1604,0.43,273,816,0.335,261,392,0.666,252,847,388,219,105,380,463
99,FloridaState,21,16,5,0.762,18.45,9.22,11,4,12,1,3,4,1661,1467,850,592,1257,0.471,173,449,0.385,304,413,0.736,243,786,310,162,108,290,384
100,Florida,23,14,9,0.609,15,10.87,9,7,6,3,5,5,1701,1606,920,605,1303,0.464,157,440,0.357,334,441,0.757,230,809,272,168,125,337,426
101,Fordham,14,2,12,0.143,-10.52,4.26,2,11,2,5,0,6,725,932,560,257,716,0.359,79,294,0.269,132,197,0.67,95,415,153,87,28,187,221
102,FresnoState,24,12,12,0.5,-3.44,0.2,9,11,7,5,4,6,1591,1618,965,552,1289,0.428,164,499,0.329,323,485,0.666,257,853,249,158,70,344,427
103,Furman,25,16,9,0.64,6.53,-1.15,10,5,11,1,5,7,1990,1723,1005,730,1499,0.487,242,708,0.342,288,398,0.724,223,879,416,205,84,313,428
104,Gardner-Webb,26,11,15,0.423,-3.24,-5.51,10,10,7,4,4,11,1837,1778,1040,651,1465,0.444,232,643,0.361,303,439,0.69,239,895,339,153,125,304,492
105,GeorgeMason,22,13,9,0.591,2.96,1.53,8,6,7,3,3,4,1569,1538,905,578,1347,0.429,160,487,0.329,253,394,0.642,254,834,287,159,93,282,353
106,GeorgeWashington,17,5,12,0.294,-4.62,-0.44,3,5,3,6,1,5,1158,1229,685,411,928,0.443,102,315,0.324,234,335,0.699,136,582,194,107,46,233,247
107,Georgetown,24,12,12,0.5,10.57,10.9,7,9,7,6,2,6,1711,1719,965,594,1405,0.423,198,542,0.365,325,425,0.765,278,956,309,141,94,371,386
108,GeorgiaSouthern,26,13,13,0.5,-9.69,-5.74,7,9,9,4,4,8,1860,1762,1070,686,1536,0.447,194,608,0.319,294,463,0.635,306,964,322,210,101,374,444
109,GeorgiaState,22,16,6,0.727,-1.19,-4.09,8,4,9,1,5,4,1767,1599,900,649,1386,0.468,178,497,0.358,291,425,0.685,250,826,369,157,97,255,365
110,GeorgiaTech,24,16,8,0.667,13.78,8.24,11,6,11,3,4,5,1808,1675,985,668,1405,0.475,184,519,0.355,288,397,0.725,190,746,388,215,81,271,378
111,Georgia,26,14,12,0.538,7.1,8.5,7,11,12,5,2,6,2014,2027,1045,734,1603,0.458,165,509,0.324,381,553,0.689,318,973,389,220,64,434,484
112,Gonzaga,26,26,0,1,26.52,3.52,15,0,12,0,7,0,2395,1797,1040,888,1612,0.551,190,520,0.365,429,590,0.727,249,986,476,216,74,315,433
113,Grambling,24,12,12,0.5,-14.73,-12.95,9,6,6,4,5,7,1617,1649,965,562,1313,0.428,125,377,0.332,368,553,0.665,207,825,337,195,73,369,433
114,GrandCanyon,22,16,6,0.727,3.37,-5.79,9,3,10,3,5,1,1664,1349,880,620,1259,0.492,148,449,0.33,276,405,0.681,229,882,360,108,68,292,379
115,GreenBay,25,8,17,0.32,-9.25,-4.33,8,12,6,6,2,11,1790,1913,1030,656,1507,0.435,170,511,0.333,308,411,0.749,228,817,352,138,90,269,405
116,Hampton,25,11,14,0.44,-13.01,-8.61,9,9,5,7,6,7,1721,1831,1000,619,1437,0.431,185,557,0.332,298,411,0.725,196,844,292,152,149,318,426
117,Hartford,22,14,8,0.636,-3.25,-5.34,8,6,9,1,5,6,1451,1405,880,523,1196,0.437,171,514,0.333,234,333,0.703,180,726,246,152,43,282,356
118,Harvard,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
119,Hawaii,21,11,10,0.524,-4.39,-4.12,9,9,7,5,4,4,1503,1452,855,534,1208,0.442,164,456,0.36,271,376,0.721,217,752,246,119,32,291,350
120,HighPoint,24,9,15,0.375,-10.13,-6.92,6,11,5,5,4,10,1600,1677,965,564,1357,0.416,115,396,0.29,357,520,0.687,279,851,292,158,90,303,428
121,Hofstra,23,13,10,0.565,-1.81,-1.98,8,6,7,3,5,6,1683,1679,925,595,1342,0.443,174,527,0.33,319,445,0.717,241,816,293,152,68,279,368
122,HolyCross,16,5,11,0.313,0.12,5.56,5,11,2,7,3,4,1130,1217,645,423,951,0.445,111,314,0.354,173,248,0.698,150,522,193,110,63,206,305
123,HoustonBaptist,25,6,19,0.24,-16.92,-5.92,4,11,4,6,1,12,1776,2007,1005,635,1485,0.428,202,588,0.344,304,415,0.733,228,849,354,176,92,418,424
124,Houston,25,22,3,0.88,21.76,3.89,14,3,15,0,5,3,1929,1434,1000,677,1543,0.439,234,654,0.358,341,465,0.733,365,1034,347,208,117,272,469
125,Howard,5,1,4,0.2,-13.74,-1.99,0,0,1,1,0,0,363,424,200,123,283,0.435,38,123,0.309,79,110,0.718,41,177,74,26,25,72,89
126,IdahoState,24,13,11,0.542,-9.65,-6.96,8,6,8,3,5,5,1637,1481,970,559,1261,0.443,166,499,0.333,353,496,0.712,243,861,273,108,83,357,442
127,Idaho,22,1,21,0.045,-19.68,-4.27,1,17,1,9,0,11,1343,1682,890,489,1133,0.432,122,358,0.341,243,335,0.725,152,657,266,109,43,360,416
128,Illinois-Chicago,22,9,13,0.409,-11.23,-6.6,6,10,7,4,2,9,1489,1591,890,558,1301,0.429,178,544,0.327,195,296,0.659,183,766,297,81,68,291,409
129,IllinoisState,25,7,18,0.28,-5.11,0.73,4,14,3,8,3,9,1799,1870,1015,679,1477,0.46,195,566,0.345,246,372,0.661,206,881,345,150,84,345,411
130,Illinois,27,21,6,0.778,24.61,12.05,16,4,11,2,9,3,2188,1849,1090,790,1577,0.501,185,488,0.379,423,617,0.686,291,1088,436,154,74,364,483
131,IncarnateWord,22,8,14,0.364,-16.16,-8.59,5,9,5,7,3,6,1495,1578,885,524,1179,0.444,168,450,0.373,279,397,0.703,171,686,269,118,40,308,395
132,IndianaState,25,15,10,0.6,2.35,2.23,11,7,9,3,5,6,1662,1645,1000,580,1338,0.433,149,446,0.334,353,481,0.734,207,796,267,164,73,302,373
133,Indiana,27,12,15,0.444,13.94,13.6,7,12,6,6,3,7,1882,1873,1115,654,1510,0.433,158,488,0.324,416,626,0.665,242,933,376,155,101,322,479
134,Iona,16,11,5,0.688,-0.8,-6.92,6,3,4,2,4,3,1168,1070,640,401,901,0.445,123,342,0.36,243,327,0.743,180,599,228,111,63,252,354
135,IowaState,24,2,22,0.083,-0.46,10.67,0,18,2,10,0,11,1574,1841,960,591,1413,0.418,175,546,0.321,217,277,0.783,206,758,278,156,75,357,447
136,Iowa,28,21,7,0.75,23.61,10.97,14,6,14,2,6,4,2358,2004,1125,837,1775,0.472,275,709,0.388,409,575,0.711,322,1129,536,157,128,264,415
137,Purdue-FortWayne,23,8,15,0.348,-11.26,-7.73,6,14,5,6,3,9,1728,1809,955,631,1259,0.501,204,510,0.4,262,380,0.689,177,721,328,156,64,393,413
138,IUPUI,18,8,10,0.444,-10.76,-6.15,7,9,4,5,4,5,1281,1364,720,452,1069,0.423,143,416,0.344,234,326,0.718,168,608,239,124,40,250,340
139,JacksonState,18,12,6,0.667,-11.52,-14.3,11,0,6,0,5,5,1181,1131,730,397,1001,0.397,100,294,0.34,287,422,0.68,187,661,190,147,59,277,347
140,JacksonvilleState,27,18,9,0.667,-2.56,-5.6,13,6,8,3,7,5,2005,1851,1095,723,1568,0.461,219,616,0.356,340,496,0.685,299,1048,383,135,94,360,413
141,Jacksonville,24,11,13,0.458,-10.86,-6.45,5,9,7,5,4,8,1622,1668,965,577,1320,0.437,170,526,0.323,298,449,0.664,206,800,269,164,63,343,372
142,JamesMadison,20,13,7,0.65,0.8,-2.26,8,2,10,3,3,3,1562,1409,800,543,1201,0.452,166,486,0.342,310,464,0.668,220,747,276,149,40,243,375
143,KansasState,29,9,20,0.31,0.89,9.17,4,14,6,12,2,7,1792,2037,1160,649,1577,0.412,191,645,0.296,303,456,0.664,296,953,377,161,44,431,492
144,Kansas,28,20,8,0.714,16.71,10.37,12,6,14,1,4,6,2047,1841,1125,737,1676,0.44,209,608,0.344,364,511,0.712,316,1064,383,192,114,346,427
145,KennesawState,24,5,19,0.208,-13.79,-3.31,1,13,4,9,0,9,1571,1672,960,571,1359,0.42,164,526,0.312,265,402,0.659,215,815,260,138,60,341,429
146,KentState,23,15,8,0.652,2.74,-0.9,12,6,9,2,6,5,1764,1635,925,635,1432,0.443,185,567,0.326,309,397,0.778,289,900,330,156,76,312,391
147,Kentucky,25,9,16,0.36,12.48,12.2,8,9,5,6,4,7,1761,1754,1010,615,1476,0.417,160,476,0.336,371,509,0.729,300,951,312,157,148,349,450
148,LaSalle,25,9,16,0.36,-2.31,4.11,6,11,6,3,3,11,1702,1838,1005,633,1453,0.436,195,573,0.34,241,352,0.685,234,829,318,186,83,361,431
149,Lafayette,15,9,6,0.6,-1.42,-2.42,9,5,6,3,3,3,1165,1150,620,405,928,0.436,129,358,0.36,226,281,0.804,133,525,243,94,51,163,280
150,Lamar,28,10,18,0.357,-13.28,-6.74,7,10,5,5,3,11,1843,2026,1130,670,1608,0.417,139,445,0.312,364,496,0.734,269,967,332,200,118,396,466
151,Lehigh,15,4,11,0.267,-8.81,-0.55,4,10,1,5,3,6,1025,1149,605,388,901,0.431,73,231,0.316,176,251,0.701,137,521,191,90,32,196,268
152,Liberty,28,23,5,0.821,4.4,-6.61,11,2,13,0,5,3,2097,1670,1120,761,1548,0.492,289,740,0.391,286,368,0.777,198,934,446,128,64,271,407
153,Lipscomb,27,15,12,0.556,-6.79,-5.36,9,6,10,4,4,7,1922,1848,1085,687,1493,0.46,200,569,0.351,348,503,0.692,208,918,364,167,53,326,376
154,CalStateLongBeach,18,6,12,0.333,-9.78,-4.12,4,8,4,3,1,8,1328,1430,740,466,1047,0.445,127,354,0.359,269,395,0.681,147,630,210,112,52,288,349
155,LongIslandUniversity,18,9,9,0.5,-5.71,-6.76,9,9,6,3,3,6,1332,1313,720,479,1155,0.415,134,467,0.287,240,360,0.667,240,705,293,152,69,259,315
156,Longwood,28,12,16,0.429,-7.29,-6.22,10,10,8,5,4,11,1854,1886,1120,662,1527,0.434,200,579,0.345,330,481,0.686,268,929,295,173,50,367,485
157,Louisiana,26,17,9,0.654,-4.82,-5.49,10,7,10,3,6,4,1934,1892,1050,713,1607,0.444,185,532,0.348,323,463,0.698,317,1027,332,145,122,388,457
158,Louisiana-Monroe,26,7,19,0.269,-10.58,-5.89,5,13,5,8,2,10,1670,1792,1045,609,1464,0.416,194,571,0.34,258,367,0.703,205,791,355,193,74,338,433
159,LouisianaState,25,17,8,0.68,15.27,8.19,11,6,11,2,4,6,2060,1883,1005,726,1552,0.468,201,582,0.345,407,547,0.744,281,952,314,202,68,298,440
160,LouisianaTech,28,21,7,0.75,6.49,-1.51,12,4,15,1,5,5,2059,1810,1120,731,1640,0.446,209,612,0.342,388,566,0.686,287,1092,351,181,77,364,424
161,Louisville,20,13,7,0.65,11.3,9.85,8,5,9,2,4,4,1359,1330,805,494,1146,0.431,107,347,0.308,264,368,0.717,225,764,221,96,37,229,338
162,Loyola(IL),28,24,4,0.857,14.7,0,16,2,13,0,8,3,2002,1555,1130,735,1456,0.505,201,546,0.368,331,458,0.723,201,914,442,194,67,334,399
163,LoyolaMarymount,22,13,9,0.591,4.64,3.14,7,5,8,3,4,5,1529,1496,885,525,1147,0.458,135,400,0.338,344,474,0.726,215,772,280,103,58,351,417
164,Loyola(MD),16,6,10,0.375,1.31,-0.76,4,10,3,4,3,6,1154,1121,670,432,930,0.465,87,279,0.312,203,335,0.606,177,603,209,114,53,233,295
165,Maine,9,2,7,0.222,-14.95,-3.51,2,6,1,1,1,6,478,581,360,172,452,0.381,64,203,0.315,70,123,0.569,69,281,108,51,40,147,161
166,Manhattan,20,7,13,0.35,-11.5,-7.65,6,12,4,6,3,6,1268,1345,825,439,1165,0.377,115,435,0.264,275,413,0.666,253,724,237,154,74,288,453
167,Marist,21,12,9,0.571,-8.26,-8.07,10,8,6,3,6,5,1332,1336,850,475,1113,0.427,142,458,0.31,240,351,0.684,158,736,229,114,84,303,370
168,Marquette,27,13,14,0.481,9.34,9.41,8,11,7,7,6,6,1883,1885,1085,661,1484,0.445,179,555,0.323,382,520,0.735,258,979,333,137,100,388,465
169,Marshall,22,15,7,0.682,6,-1.36,9,5,9,3,6,3,1758,1596,885,656,1382,0.475,204,567,0.36,242,334,0.725,183,778,349,172,114,263,333
170,Maryland-BaltimoreCounty,20,14,6,0.7,-0.19,-4.84,10,4,5,4,9,2,1391,1298,800,483,1099,0.439,139,408,0.341,286,402,0.711,175,730,219,102,35,258,336
171,Maryland-EasternShore,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
172,Maryland,29,16,13,0.552,15.4,12.94,9,11,11,6,4,6,1995,1884,1160,699,1533,0.456,234,663,0.353,363,517,0.702,188,965,385,145,98,324,431
173,Massachusetts-Lowell,22,11,11,0.5,-4.81,-2.9,7,8,3,4,6,5,1525,1567,880,542,1179,0.46,143,399,0.358,298,452,0.659,191,756,262,112,84,320,451
174,Massachusetts,15,8,7,0.533,5.92,2.19,6,4,4,3,3,3,1151,1095,615,394,920,0.428,132,405,0.326,231,315,0.733,136,517,224,110,61,181,261
175,McNeeseState,24,10,14,0.417,-18.34,-11.45,4,11,7,5,3,8,1927,1722,960,718,1456,0.493,204,526,0.388,287,417,0.688,255,896,443,172,49,359,410
176,Memphis,23,16,7,0.696,12.54,2.84,11,4,10,1,4,3,1656,1433,920,599,1366,0.439,172,487,0.353,286,458,0.624,281,928,375,208,114,376,447
177,Mercer,29,18,11,0.621,1.78,-1.1,8,9,9,4,6,6,2225,2082,1180,832,1738,0.479,250,673,0.371,311,433,0.718,252,1053,479,200,86,373,445
178,Merrimack,18,9,9,0.5,-7.01,-6.62,9,9,6,3,3,6,1193,1200,725,434,967,0.449,126,398,0.317,199,300,0.663,124,556,216,144,68,245,305
179,Miami(FL),27,10,17,0.37,4.2,8.72,4,15,7,8,1,8,1794,1916,1085,647,1523,0.425,150,509,0.295,350,500,0.7,257,944,305,179,104,341,332
180,Miami(OH),23,12,11,0.522,-1.74,-1.79,9,8,7,4,5,6,1663,1647,925,598,1370,0.436,197,541,0.364,270,348,0.776,226,797,278,103,58,248,388
181,MichiganState,27,15,12,0.556,11.11,12.63,9,11,12,3,3,8,1864,1905,1080,668,1574,0.424,172,537,0.32,356,494,0.721,294,1015,428,123,126,352,535
182,Michigan,23,20,3,0.87,23.64,12.25,14,3,13,1,6,2,1763,1501,925,648,1325,0.489,175,449,0.39,290,377,0.769,209,863,357,103,98,264,337
183,MiddleTennessee,23,5,18,0.217,-10.53,-0.53,3,13,5,6,0,9,1426,1627,920,511,1323,0.386,171,528,0.324,233,340,0.685,223,768,229,164,52,345,372
184,Milwaukee,22,10,12,0.455,-6.82,-6.09,7,10,4,5,6,6,1662,1678,900,588,1348,0.436,159,484,0.329,327,447,0.732,197,770,285,134,47,244,405
185,Minnesota,29,14,15,0.483,12.14,12.83,6,14,13,4,0,10,2103,2123,1175,704,1794,0.392,207,730,0.284,488,659,0.741,340,1067,399,183,134,324,538
186,MississippiState,29,15,14,0.517,9.02,6.78,8,10,9,6,5,4,1997,1932,1180,747,1658,0.451,151,451,0.335,352,545,0.646,364,1139,375,181,136,433,450
187,MississippiValleyState,24,2,22,0.083,-38.44,-7.9,2,13,1,5,1,16,1364,2097,960,480,1347,0.356,214,651,0.329,190,332,0.572,168,749,264,110,71,430,428
188,Mississippi,27,16,11,0.593,12.09,6.38,10,8,10,4,5,6,1866,1712,1085,678,1533,0.442,141,471,0.299,369,527,0.7,327,987,331,207,107,371,459
189,Missouri-KansasCity,24,11,13,0.458,-5.25,-3,7,7,8,3,2,8,1683,1502,960,642,1292,0.497,149,407,0.366,250,379,0.66,175,730,355,190,50,300,524
190,MissouriState,24,17,7,0.708,5.36,0.18,12,6,9,4,7,2,1762,1594,960,637,1332,0.478,180,515,0.35,308,415,0.742,188,887,325,112,69,305,369
191,Missouri,25,16,9,0.64,12.84,11.12,8,8,8,4,6,4,1841,1798,1010,646,1439,0.449,173,540,0.32,376,539,0.698,248,892,330,168,88,336,494
192,Monmouth,20,12,8,0.6,-5.18,-6.93,12,6,7,2,5,5,1521,1486,815,518,1226,0.423,154,424,0.363,331,468,0.707,198,749,280,166,70,268,415
193,MontanaState,22,13,9,0.591,-6.84,-6.29,8,6,5,3,6,6,1648,1590,895,567,1243,0.456,140,414,0.338,374,496,0.754,190,745,252,121,52,276,412
194,Montana,28,15,13,0.536,-5.02,-2.93,7,9,8,4,5,8,1981,1876,1135,697,1514,0.46,154,425,0.362,433,554,0.782,214,927,356,137,72,371,552
195,MoreheadState,30,23,7,0.767,-0.4,-4.5,17,3,12,1,8,5,2065,1902,1210,738,1601,0.461,197,562,0.351,392,575,0.682,309,1125,382,132,150,459,432
196,MorganState,21,14,7,0.667,-5.08,-10.47,7,5,5,5,7,2,1692,1535,840,580,1332,0.435,179,513,0.349,353,474,0.745,281,831,320,166,78,326,437
197,MountSt.Mary's,22,12,10,0.545,-3.3,-4.71,9,7,6,3,6,6,1402,1371,890,508,1192,0.426,146,433,0.337,240,354,0.678,237,821,257,97,91,288,328
198,MurrayState,26,13,13,0.5,-2.41,-7.74,10,10,9,4,4,8,1986,1739,1045,757,1522,0.497,212,576,0.368,260,387,0.672,239,939,435,175,91,347,432
199,Navy,18,15,3,0.833,4.33,-0.17,12,1,8,2,6,1,1287,1206,730,466,1042,0.447,111,340,0.326,244,344,0.709,204,631,222,147,43,223,301
200,Omaha,25,5,20,0.2,-13.04,-2.4,3,11,1,5,3,12,1683,1949,1000,625,1494,0.418,133,397,0.335,300,436,0.688,212,853,236,141,75,327,471
201,Nebraska,27,7,20,0.259,7.2,13.39,3,16,6,9,1,10,1889,2004,1085,671,1604,0.418,228,684,0.333,319,499,0.639,240,979,369,193,88,380,473
